stay_year,stay_month_num,season,room_id,room_name,rooms_available,bookings,room_nights,revenue,guests,avg_los,avg_lead_days,adr_booking_mean,days_in_month,available_room_nights,occupancy_pct,realized_adr,revpar,quoted_requests,conversion_pct,prev_realized_adr,realized_adr_yoy_pct,prev_occupancy_pct,occupancy_pct_yoy_pp,prev_revpar,revpar_yoy_pct,prev_conversion_pct,conversion_pct_yoy_pp,prev_room_nights,room_nights_yoy_pct,prev_revenue,revenue_yoy_pct,prev_avg_los,avg_los_yoy_pct
2025,5,SHOULDER,2764,Appartamento Area Giardino,28,14,35,4969.5599999999995,45,2.5,17.428571428571427,135.25571428571428,31,868,4.032258064516129,141.98742857142855,5.725299539170506,52.0,3.8461538461538463,,,,,,,,,,,,,,
2026,5,SHOULDER,2764,Appartamento Area Giardino,28,54,141,24145.079999999998,207,2.611111111111111,16.09259259259259,168.48851851851853,31,868,16.244239631336406,171.24170212765955,27.816912442396312,60.0,8.333333333333334,141.98742857142855,20.60342514162391,4.032258064516129,12.211981566820278,5.725299539170506,385.8595127133992,3.8461538461538463,4.487179487179487,35.0,302.85714285714283,4969.5599999999995,385.85951271339917,2.5,4.444444444444446
2024,6,SHOULDER,2764,Appartamento Area Giardino,28,120,878,126235.9,415,7.316666666666666,79.08333333333333,140.12041666666667,30,840,104.52380952380952,143.7766514806378,150.28083333333333,301.0,7.641196013289036,,,,,,,,,,,,,,
2025,6,SHOULDER,2764,Appartamento Area Giardino,28,97,464,78725.97,343,4.783505154639175,34.90721649484536,171.9198969072165,30,840,55.23809523809524,169.66803879310345,93.72139285714286,427.0,7.7283372365339575,143.7766514806378,18.008061146112027,104.52380952380952,-49.28571428571428,150.28083333333333,-37.63583101162189,7.641196013289036,0.08714122324492113,878.0,-47.15261958997722,126235.9,-37.63583101162189,7.316666666666666,-34.621797430899655
2026,6,SHOULDER,2764,Appartamento Area Giardino,28,73,496,87028.34,261,6.794520547945205,82.20547945205479,174.12794520547945,30,840,59.04761904761905,175.46036290322579,103.60516666666666,399.0,6.516290726817043,169.66803879310345,3.413915874389054,55.23809523809524,3.80952380952381,93.72139285714286,10.545910072622787,7.7283372365339575,-1.2120465097169149,464.0,6.896551724137931,78725.97,10.545910072622789,4.783505154639175,42.04062352385451
2024,7,PEAK,2764,Appartamento Area Giardino,28,112,908,116834.0,476,8.107142857142858,98.22321428571429,133.44205357142857,31,868,104.60829493087557,128.6718061674009,134.60138248847926,271.0,7.380073800738008,,,,,,,,,,,,,,
2025,7,PEAK,2764,Appartamento Area Giardino,28,101,763,118266.51,420,7.554455445544554,91.97029702970298,168.86940594059408,31,868,87.90322580645162,155.00197903014416,136.2517396313364,479.0,3.549060542797495,128.6718061674009,20.463047536993415,104.60829493087557,-16.705069124423957,134.60138248847926,1.2261071263501981,7.380073800738008,-3.831013257940513,908.0,-15.969162995594713,116834.0,1.2261071263502017,8.107142857142858,-6.817289658481277
2026,7,PEAK,2764,Appartamento Area Giardino,28,113,817,146935.23,454,7.230088495575221,156.0796460176991,181.11778761061947,31,868,94.12442396313364,179.84728274173807,169.28021889400924,518.0,3.667953667953668,155.00197903014416,16.029023543474953,87.90322580645162,6.221198156682021,136.2517396313364,24.240776192685512,3.549060542797495,0.11889312515617334,763.0,7.077326343381389,118266.51,24.240776192685498,7.554455445544554,-4.293717162110436
2024,8,PEAK,2764,Appartamento Area Giardino,28,123,965,116570.5,512,7.845528455284553,113.21138211382114,117.6110569105691,31,868,111.17511520737327,120.79844559585493,134.29781105990784,315.0,4.761904761904762,,,,,,,,,,,,,,
2025,8,PEAK,2764,Appartamento Area Giardino,28,117,890,149321.26,476,7.6068376068376065,103.94017094017094,170.07188034188033,31,868,102.53456221198157,167.7766966292135,172.02910138248848,654.0,3.669724770642202,120.79844559585493,38.8897810742778,111.17511520737327,-8.640552995391701,134.29781105990784,28.09523850373807,4.761904761904762,-1.0921799912625598,965.0,-7.772020725388601,116570.5,28.095238503738088,7.845528455284553,-3.0423807625880235
2024,9,SHOULDER,2764,Appartamento Area Giardino,28,43,256,41625.93,140,5.953488372093023,45.95348837209303,157.26186046511629,30,840,30.476190476190474,162.6012890625,49.554678571428575,298.0,3.3557046979865772,,,,,,,,,,,,,,
2025,9,SHOULDER,2764,Appartamento Area Giardino,28,43,152,30852.14,161,3.5348837209302326,9.534883720930232,204.68302325581396,30,840,18.095238095238095,202.97460526315788,36.72873809523809,94.0,17.02127659574468,162.6012890625,24.82964091701595,30.476190476190474,-12.38095238095238,49.554678571428575,-25.882400705521782,3.3557046979865772,13.665571897758102,256.0,-40.625,41625.93,-25.882400705521775,5.953488372093023,-40.62499999999999
2025,5,SHOULDER,2765,Appartamento Area Piscina,18,17,38,7860.049999999999,59,2.235294117647059,22.294117647058822,221.3029411764706,31,558,6.810035842293907,206.84342105263156,14.08611111111111,15.0,46.666666666666664,,,,,,,,,,,,,,
2026,5,SHOULDER,2765,Appartamento Area Piscina,18,34,99,17708.38,120,2.911764705882353,29.91176470588235,174.43588235294118,31,558,17.741935483870968,178.87252525252526,31.735448028673837,33.0,3.0303030303030303,206.84342105263156,-13.522738919015008,6.810035842293907,10.931899641577061,14.08611111111111,125.29602228993457,46.666666666666664,-43.63636363636363,38.0,160.52631578947367,7860.049999999999,125.29602228993458,2.235294117647059,30.263157894736832
2024,6,SHOULDER,2765,Appartamento Area Piscina,18,81,474,80777.0,261,5.851851851851852,63.4320987654321,158.0843209876543,30,540,87.77777777777777,170.415611814346,149.58703703703705,346.0,4.624277456647399,,,,,,,,,,,,,,
