stay_year,stay_month_num,season,room_name,regime,strategy,current_adr,recommended_price_change_pct,recommended_adr,current_occupancy_pct,expected_occupancy_pct,current_revpar,optimized_revpar,revpar_change_pct,actual_revenue,optimized_revenue,incremental_revenue_eur,room_nights,available_room_nights,conversion_pct,avg_los,elasticity_proxy,elasticity_source,elasticity_observations,confidence,reason
2025,8,PEAK,Villino 2Ten,BALANCED,PRICE_UP,360.66,25.0,450.82,74.19,63.12,267.59,284.55,6.34,8295.15,8821.17,526.02,23.0,31.0,0.0,7.67,0.597,OBSERVED,1,MEDIUM,BALANCED: tested price grid and selected +25% because it maximizes modeled RevPAR (267.59 -> 284.55) under the estimated price-volume response.
2025,6,SHOULDER,Villino Double,VOLUME_OPPORTUNITY,PRICE_DOWN,410.93,-25.0,308.2,23.33,36.49,95.88,112.45,17.28,2876.5,3373.6,497.1,7.0,30.0,0.0,7.0,2.255,OBSERVED,2,HIGH,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (95.88 -> 112.45) under the estimated price-volume response.
2024,7,PEAK,Villino 2Ten,VOLUME_OPPORTUNITY,PRICE_DOWN,113.31,-25.0,84.98,41.94,73.39,47.52,62.36,31.25,1473.0,1933.31,460.31,13.0,31.0,0.0,6.5,3.0,OBSERVED,1,MEDIUM,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (47.52 -> 62.36) under the estimated price-volume response.
2025,8,PEAK,Villino Double,PRICE_POWER,PRICE_UP,195.71,10.0,215.29,90.32,88.06,176.77,189.59,7.25,5480.0,5877.3,397.3,28.0,31.0,7.14,5.6,0.25,PRIOR,0,LOW,PRICE_POWER: tested price grid and selected +10% because it maximizes modeled RevPAR (176.77 -> 189.59) under the estimated price-volume response.
2024,6,SHOULDER,Villino 2Ten,BALANCED,PRICE_UP,108.57,25.0,135.71,70.0,65.62,76.0,89.06,17.19,2280.0,2671.88,391.88,21.0,30.0,0.0,5.25,0.25,PRIOR,0,LOW,BALANCED: tested price grid and selected +25% because it maximizes modeled RevPAR (76.00 -> 89.06) under the estimated price-volume response.
2024,5,SHOULDER,Camera  Standard,VOLUME_OPPORTUNITY,PRICE_DOWN,124.25,-25.0,93.19,1.84,3.23,2.29,3.01,31.25,994.0,1304.62,310.62,8.0,434.0,6.67,2.0,3.0,OBSERVED,1,MEDIUM,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (2.29 -> 3.01) under the estimated price-volume response.
2026,6,SHOULDER,Camera  Standard,BALANCED,PRICE_DOWN,143.88,-5.0,136.69,80.95,85.65,116.48,117.08,0.51,48920.48,49172.28,251.8,340.0,420.0,5.7,4.59,1.161,OBSERVED,1,MEDIUM,BALANCED: tested price grid and selected -5% because it maximizes modeled RevPAR (116.48 -> 117.08) under the estimated price-volume response.
2026,7,PEAK,Suite Familiare Vista Piscina,VOLUME_OPPORTUNITY,PRICE_DOWN,428.03,-15.0,363.83,45.16,55.32,193.3,201.28,4.12,5992.45,6239.64,247.19,14.0,31.0,0.95,7.0,1.5,PRIOR,0,LOW,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (193.30 -> 201.28) under the estimated price-volume response.
2025,6,SHOULDER,Camera  Standard,BALANCED,PRICE_DOWN,141.79,-5.0,134.7,73.1,77.34,103.64,104.18,0.51,43529.66,43753.71,224.05,307.0,420.0,8.31,3.7,1.161,OBSERVED,1,MEDIUM,BALANCED: tested price grid and selected -5% because it maximizes modeled RevPAR (103.64 -> 104.18) under the estimated price-volume response.
2024,5,SHOULDER,Camera Superior,VOLUME_OPPORTUNITY,PRICE_DOWN,345.0,-25.0,258.75,0.81,1.41,2.78,3.65,31.25,690.0,905.62,215.62,2.0,248.0,16.67,2.0,3.0,OBSERVED,1,MEDIUM,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (2.78 -> 3.65) under the estimated price-volume response.
2025,5,SHOULDER,Appartamento Area Giardino,VOLUME_OPPORTUNITY,PRICE_DOWN,141.99,-15.0,120.69,4.03,4.94,5.73,5.96,4.12,4969.56,5174.55,204.99,35.0,868.0,3.85,2.5,1.5,PRIOR,0,LOW,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (5.73 -> 5.96) under the estimated price-volume response.
2024,9,SHOULDER,Villino Double,VOLUME_OPPORTUNITY,PRICE_DOWN,233.64,-15.0,198.6,46.67,57.17,109.03,113.53,4.12,3271.0,3405.93,134.93,14.0,30.0,0.0,4.67,1.5,PRIOR,0,LOW,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (109.03 -> 113.53) under the estimated price-volume response.
