stay_year,stay_month_num,season,room_name,arrangement_name,bookings,room_nights,revenue,guests,avg_los,avg_lead_days,realized_total_adr,treatment_mix_pct
2024,9,SHOULDER,Camera Superior,No Board,1,2,97.48,2,2.0,4.0,48.74,4.545454545454546
2025,11,OTHER,Camera Superior,No Board,2,2,0.0,6,1.0,4.0,0.0,100.0
2024,5,SHOULDER,Camera Superior,Pensione Completa,1,2,690.0,3,2.0,11.0,345.0,100.0
2025,5,SHOULDER,Camera Superior,Pensione Completa,3,8,1258.0,9,2.6666666666666665,26.0,157.25,33.333333333333336
2026,5,SHOULDER,Camera Superior,Pensione Completa,13,34,5247.13,33,2.6153846153846154,27.076923076923077,154.32735294117649,76.47058823529412
2024,6,SHOULDER,Camera Superior,Pensione Completa,20,101,15678.4,55,5.05,50.45,155.23168316831683,58.8235294117647
2025,6,SHOULDER,Camera Superior,Pensione Completa,8,34,5929.24,21,4.25,32.75,174.38941176470587,19.047619047619047
2026,6,SHOULDER,Camera Superior,Pensione Completa,13,67,12948.31,39,5.153846153846154,35.53846153846154,193.25835820895523,29.545454545454547
2024,7,PEAK,Camera Superior,Pensione Completa,26,161,41474.5,82,6.1923076923076925,58.42307692307692,257.6055900621118,63.41463414634146
2025,7,PEAK,Camera Superior,Pensione Completa,14,95,16917.19,42,6.785714285714286,69.64285714285714,178.0756842105263,28.0
2026,7,PEAK,Camera Superior,Pensione Completa,6,30,5699.4,18,5.0,36.0,189.98,13.953488372093023
2024,8,PEAK,Camera Superior,Pensione Completa,31,193,53860.5,103,6.225806451612903,18.838709677419356,279.0699481865285,79.48717948717949
2025,8,PEAK,Camera Superior,Pensione Completa,11,52,15571.8,32,4.7272727272727275,45.54545454545455,299.4576923076923,22.0
2024,9,SHOULDER,Camera Superior,Pensione Completa,13,81,11318.0,32,6.230769230769231,72.6923076923077,139.7283950617284,59.09090909090909
2025,9,SHOULDER,Camera Superior,Pensione Completa,5,11,1844.6599999999999,10,2.2,5.8,167.69636363636363,18.51851851851852
2024,6,SHOULDER,Camera Superior,Solo Pernottamento,1,4,0.0,1,4.0,2.0,0.0,2.9411764705882355
2026,5,SHOULDER,OTA Camera Standard,Mezza Pensione,2,4,565.68,5,2.0,20.0,141.42,100.0
2026,6,SHOULDER,OTA Camera Standard,Mezza Pensione,2,6,951.03,4,3.0,20.0,158.505,100.0
2025,7,PEAK,Suite Familiare,Bed & Breakfast,2,4,880.0,6,2.0,13.5,220.0,28.571428571428573
2024,6,SHOULDER,Suite Familiare,Mezza Pensione,2,24,7230.0,7,12.0,97.0,301.25,50.0
2025,6,SHOULDER,Suite Familiare,Mezza Pensione,1,10,2323.5,3,10.0,207.0,232.35,100.0
2026,6,SHOULDER,Suite Familiare,Mezza Pensione,5,31,7703.95,13,6.2,70.0,248.51451612903224,100.0
2024,7,PEAK,Suite Familiare,Mezza Pensione,1,5,1940.0,3,5.0,5.0,388.0,50.0
2026,7,PEAK,Suite Familiare,Mezza Pensione,1,2,300.0,3,2.0,4.0,150.0,100.0
2024,8,PEAK,Suite Familiare,Mezza Pensione,1,5,2490.0,4,5.0,12.0,498.0,100.0
2025,8,PEAK,Suite Familiare,Mezza Pensione,2,6,1630.0,7,3.0,17.0,271.6666666666667,66.66666666666667
2024,9,SHOULDER,Suite Familiare,Mezza Pensione,2,14,1800.0,6,7.0,65.0,128.57142857142858,100.0
2026,5,SHOULDER,Suite Familiare,Pensione Completa,1,3,420.0,2,3.0,24.0,140.0,100.0
2024,6,SHOULDER,Suite Familiare,Pensione Completa,2,4,550.0,6,2.0,12.0,137.5,50.0
2024,7,PEAK,Suite Familiare,Pensione Completa,1,7,3005.0,4,7.0,21.0,429.2857142857143,50.0
2025,7,PEAK,Suite Familiare,Pensione Completa,5,28,9273.7,12,5.6,37.0,331.2035714285715,71.42857142857143
2025,8,PEAK,Suite Familiare,Pensione Completa,1,1,0.0,1,1.0,47.0,0.0,33.333333333333336
2025,6,SHOULDER,Suite Familiare Vista Piscina,Bed & Breakfast,1,1,159.9,4,1.0,4.0,159.9,25.0
2025,8,PEAK,Suite Familiare Vista Piscina,Bed & Breakfast,1,8,2190.0,3,8.0,135.0,273.75,14.285714285714286
2025,5,SHOULDER,Suite Familiare Vista Piscina,Mezza Pensione,1,2,0.0,2,2.0,20.0,0.0,100.0
2024,6,SHOULDER,Suite Familiare Vista Piscina,Mezza Pensione,2,18,4714.5,7,9.0,122.0,261.9166666666667,66.66666666666667
2025,6,SHOULDER,Suite Familiare Vista Piscina,Mezza Pensione,2,12,2641.5,7,6.0,106.0,220.125,50.0
2024,7,PEAK,Suite Familiare Vista Piscina,Mezza Pensione,2,13,4967.0,8,6.5,41.0,382.0769230769231,50.0
2025,7,PEAK,Suite Familiare Vista Piscina,Mezza Pensione,1,7,2496.65,4,7.0,73.0,356.6642857142857,100.0
