stay_year,stay_month_num,season,booking_window,arrangement_name,bookings,room_nights,revenue,avg_adr,avg_lead_days,realized_adr,cancellation_pct,quoted_requests,same_treatment_converted,conversion_pct
2024,6,SHOULDER,0-7,Pensione Completa,21,104,13694.0,119.11809523809524,2.619047619047619,131.67307692307693,25.0,38.0,2.0,5.2631578947368425
2024,6,SHOULDER,15-30,Pensione Completa,25,125,14849.5,110.684,20.56,118.796,24.324324324324323,149.0,3.0,2.0134228187919465
2024,6,SHOULDER,31-60,Mezza Pensione,13,100,22267.0,239.65846153846152,45.46153846153846,222.67,18.75,106.0,7.0,6.60377358490566
2024,6,SHOULDER,31-60,Pensione Completa,22,127,14573.9,108.765,46.68181818181818,114.75511811023621,15.384615384615385,83.0,4.0,4.819277108433735
2024,6,SHOULDER,61-90,Mezza Pensione,73,429,47520.6,110.40958904109588,76.35616438356165,110.77062937062936,14.117647058823529,58.0,4.0,6.896551724137931
2024,6,SHOULDER,61-90,Pensione Completa,50,360,41845.5,111.821,77.54,116.2375,15.0,72.0,9.0,12.5
2024,6,SHOULDER,8-14,Mezza Pensione,11,62,12757.1,183.91,11.818181818181818,205.75967741935486,31.25,65.0,5.0,7.6923076923076925
2024,6,SHOULDER,8-14,Pensione Completa,14,40,4732.0,87.82714285714285,10.357142857142858,118.3,15.789473684210526,58.0,1.0,1.7241379310344827
2024,6,SHOULDER,91-180,Mezza Pensione,29,213,45851.0,217.40413793103448,126.41379310344827,215.26291079812208,16.666666666666668,148.0,11.0,7.4324324324324325
2024,6,SHOULDER,91-180,Pensione Completa,54,420,83828.4,194.57722222222222,125.74074074074075,199.59142857142857,1.7857142857142858,162.0,10.0,6.172839506172839
2024,7,PEAK,0-7,Mezza Pensione,10,49,14284.55,253.92200000000003,3.5,291.52142857142854,16.666666666666668,60.0,2.0,3.3333333333333335
2024,7,PEAK,0-7,Pensione Completa,29,145,29834.5,192.58413793103446,3.5517241379310347,205.7551724137931,21.62162162162162,51.0,4.0,7.8431372549019605
2024,7,PEAK,31-60,Pensione Completa,16,118,29996.0,257.35,46.25,254.20338983050848,23.80952380952381,188.0,6.0,3.1914893617021276
2024,7,PEAK,61-90,Mezza Pensione,11,85,23228.0,259.2827272727273,79.0,273.2705882352941,0.0,66.0,1.0,1.5151515151515151
2024,7,PEAK,61-90,Pensione Completa,21,142,25041.0,170.44190476190474,79.66666666666667,176.3450704225352,22.22222222222222,113.0,5.0,4.424778761061947
2024,7,PEAK,8-14,Mezza Pensione,11,55,19338.0,376.0318181818182,10.363636363636363,351.6,0.0,129.0,7.0,5.426356589147287
2024,7,PEAK,8-14,Pensione Completa,30,190,55703.0,258.25600000000003,10.1,293.1736842105263,18.91891891891892,127.0,12.0,9.448818897637794
2024,7,PEAK,91-180,Formula Residence,21,189,0.0,0.0,105.33333333333333,0.0,8.695652173913043,,,
2024,7,PEAK,91-180,Mezza Pensione,26,228,40533.5,182.05423076923077,121.53846153846153,177.77850877192984,16.129032258064516,193.0,6.0,3.1088082901554404
2024,7,PEAK,91-180,Pensione Completa,78,587,119839.5,192.89820512820512,119.78205128205128,204.15587734241907,16.666666666666668,244.0,18.0,7.377049180327869
2024,8,PEAK,0-7,Mezza Pensione,22,120,37713.0,287.0081818181818,3.4545454545454546,314.275,12.0,86.0,9.0,10.465116279069768
2024,8,PEAK,0-7,Pensione Completa,46,264,67042.5,220.64565217391305,4.456521739130435,253.94886363636363,36.986301369863014,78.0,8.0,10.256410256410257
2024,8,PEAK,15-30,Pensione Completa,16,110,39128.0,343.58875,24.5625,355.7090909090909,20.0,205.0,15.0,7.317073170731708
2024,8,PEAK,31-60,Mezza Pensione,12,92,38972.0,422.9391666666666,42.75,423.60869565217394,0.0,294.0,10.0,3.401360544217687
2024,8,PEAK,31-60,Pensione Completa,20,143,43103.0,299.9145,41.55,301.4195804195804,16.666666666666668,257.0,10.0,3.8910505836575875
2024,8,PEAK,8-14,Pensione Completa,23,146,48904.5,291.49478260869563,10.304347826086957,334.96232876712327,32.35294117647059,97.0,11.0,11.34020618556701
2024,8,PEAK,91-180,Mezza Pensione,23,196,56246.0,294.37565217391307,124.3913043478261,286.96938775510205,7.407407407407407,334.0,8.0,2.395209580838323
2024,8,PEAK,91-180,Pensione Completa,75,598,82244.5,117.92,126.53333333333333,137.5326086956522,12.5,317.0,12.0,3.7854889589905363
2024,8,PEAK,91-180,Solo Pernottamento,33,287,240.0,1.039090909090909,125.24242424242425,0.8362369337979094,0.0,,,
2024,9,SHOULDER,0-7,Mezza Pensione,30,142,19113.35,134.5413333333333,2.3,134.60105633802817,9.090909090909092,20.0,5.0,25.0
2024,9,SHOULDER,0-7,Pensione Completa,16,62,10882.0,160.773125,2.4375,175.51612903225808,19.047619047619047,25.0,2.0,8.0
2024,9,SHOULDER,31-60,Pensione Completa,15,74,13866.0,130.77133333333333,49.6,187.3783783783784,28.571428571428573,112.0,3.0,2.6785714285714284
2024,9,SHOULDER,8-14,Pensione Completa,10,57,8752.0,139.78699999999998,10.7,153.5438596491228,28.571428571428573,71.0,1.0,1.408450704225352
2024,9,SHOULDER,91-180,Mezza Pensione,20,141,18348.0,128.156,149.55,130.12765957446808,9.090909090909092,201.0,2.0,0.9950248756218906
2024,9,SHOULDER,91-180,Pensione Completa,16,107,13462.5,129.575625,129.1875,125.8177570093458,18.181818181818183,175.0,4.0,2.2857142857142856
2025,5,SHOULDER,15-30,Pensione Completa,24,51,11044.35,220.09375,23.0,216.55588235294118,14.285714285714286,51.0,7.0,13.72549019607843
2025,6,SHOULDER,0-7,Bed & Breakfast,28,63,5774.85,98.87035714285715,3.107142857142857,91.66428571428573,17.647058823529413,29.0,2.0,6.896551724137931
2025,6,SHOULDER,0-7,Mezza Pensione,43,139,21986.83,154.92232558139534,3.302325581395349,158.17863309352518,8.51063829787234,68.0,18.0,26.470588235294116
2025,6,SHOULDER,0-7,Pensione Completa,15,54,8345.63,168.01200000000003,3.7333333333333334,154.5487037037037,42.30769230769231,54.0,6.0,11.11111111111111
2025,6,SHOULDER,15-30,Bed & Breakfast,18,53,5861.82,108.59611111111111,22.666666666666668,110.60037735849056,18.181818181818183,42.0,4.0,9.523809523809524
