stay_date,room_id,room_name,capacity,on_books_rooms,remaining_rooms,occupancy_on_books_pct,days_to_arrival,pickup_horizon_days,historical_otb_rooms,historical_final_occupied_rooms,pace_vs_history_pct,expected_remaining_demand_rooms,adr_on_books,historical_adr,high_adr,price_gap_to_high_pct,decision,suggested_uplift_pct,recommended_adr,incremental_adr_eur,expected_incremental_revenue_eur,break_even_demand_loss_pct,confidence,capacity_exception,reason,portfolio_action,portfolio_uplift_pct,portfolio_recommended_adr,portfolio_incremental_adr,remaining_horizon_impact_eur,confidence_weight,risk_adjusted_horizon_impact_eur
2026-08-13,2762,Camera Superior,8,7,1,87.5,13,14,6.0,9.0,16.666666666666668,1.0,241.8657142857143,270.1359016393443,275.0167213114754,13.706368893029651,INCREASE,13.706368893029651,275.0167213114754,33.15100702576112,33.15,12.054178694180317,HIGH,False,OTB saturation 87.5%; pace vs historical 16.7% at ~14d horizon; ADR 241.87 vs historical high 275.02; expected remaining demand 1.00 rooms; 13 days to arrival.,INCREASE,13.706368893029651,275.0167213114754,33.15100702576112,33.15,1.0,33.15
2026-08-04,2761,Camera  Standard,14,10,4,71.42857142857143,4,7,10.0,13.0,0.0,1.0,209.05900000000003,182.36966069897085,243.69322809750733,16.56672427281643,TEST_INCREASE,8.283362136408215,226.37611404875366,17.317114048753638,17.32,7.649709034683816,HIGH,False,OTB saturation 71.4%; pace vs historical 0.0% at ~7d horizon; ADR 209.06 vs historical high 243.69; expected remaining demand 1.00 rooms; 4 days to arrival.,TEST_INCREASE,8.283362136408215,226.37611404875366,17.317114048753638,17.32,1.0,17.32
2026-08-05,2762,Camera Superior,8,7,1,87.5,5,7,7.0,9.0,0.0,1.0,242.4557142857143,270.1359016393443,275.0167213114754,13.429671938930102,TEST_INCREASE,6.714835969465051,258.73621779859485,16.280503512880557,16.28,6.292317191385088,HIGH,False,OTB saturation 87.5%; pace vs historical 0.0% at ~7d horizon; ADR 242.46 vs historical high 275.02; expected remaining demand 1.00 rooms; 5 days to arrival.,TEST_INCREASE,6.714835969465051,258.73621779859485,16.280503512880557,16.28,1.0,16.28
2026-08-13,2763,Camera Deluxe,5,4,1,80.0,13,14,4.0,5.0,0.0,1.0,268.8875,296.5486111111111,296.5486111111111,10.287243219231499,TEST_INCREASE,5.143621609615749,282.7180555555555,13.83055555555552,13.83,4.8919958537412045,HIGH,False,OTB saturation 80.0%; pace vs historical 0.0% at ~14d horizon; ADR 268.89 vs historical high 296.55; expected remaining demand 1.00 rooms; 13 days to arrival.,TEST_INCREASE,5.143621609615749,282.7180555555555,13.83055555555552,13.83,1.0,13.83
2026-09-14,2761,Camera  Standard,14,3,11,21.428571428571427,45,60,2.0,13.0,50.0,9.799999999999999,123.58,120.1426729467177,130.2687984496124,5.412525044191945,HOLD,0.0,123.58,0.0,0.0,0.0,HIGH,False,OTB saturation 21.4%; pace vs historical 50.0% at ~60d horizon; ADR 123.58 vs historical high 130.27; expected remaining demand 9.80 rooms; 45 days to arrival.,MONITOR_UP,1.6237575132575834,125.58663953488372,2.0066395348837176,19.67,0.65,12.79
2026-08-05,2761,Camera  Standard,14,10,4,71.42857142857143,5,7,10.0,13.0,0.0,1.0,223.44299999999998,182.36966069897085,243.69322809750733,9.062816063831647,TEST_INCREASE,4.531408031915824,233.56811404875367,10.125114048753687,10.13,4.334972729471209,HIGH,False,OTB saturation 71.4%; pace vs historical 0.0% at ~7d horizon; ADR 223.44 vs historical high 243.69; expected remaining demand 1.00 rooms; 5 days to arrival.,TEST_INCREASE,4.531408031915824,233.56811404875367,10.125114048753687,10.13,1.0,10.13
2026-09-13,2761,Camera  Standard,14,3,11,21.428571428571427,44,30,3.0,13.0,0.0,5.0,123.58666666666666,120.1426729467177,130.2687984496124,5.406838749821243,HOLD,0.0,123.58666666666666,0.0,0.0,0.0,HIGH,False,OTB saturation 21.4%; pace vs historical 0.0% at ~30d horizon; ADR 123.59 vs historical high 130.27; expected remaining demand 5.00 rooms; 44 days to arrival.,MONITOR_UP,1.6220516249463728,125.59130620155038,2.0046395348837223,10.02,0.65,6.51
2026-09-16,2761,Camera  Standard,14,2,12,14.285714285714286,47,60,2.0,13.0,0.0,7.0,125.535,120.1426729467177,130.2687984496124,3.7708993106403854,HOLD,0.0,125.535,0.0,0.0,0.0,HIGH,False,OTB saturation 14.3%; pace vs historical 0.0% at ~60d horizon; ADR 125.53 vs historical high 130.27; expected remaining demand 7.00 rooms; 47 days to arrival.,MONITOR_UP,1.1312697931921156,126.95513953488371,1.4201395348837167,9.94,0.65,6.46
2026-09-15,2761,Camera  Standard,14,2,12,14.285714285714286,46,60,2.0,13.0,0.0,7.0,125.535,120.1426729467177,130.2687984496124,3.7708993106403854,HOLD,0.0,125.535,0.0,0.0,0.0,HIGH,False,OTB saturation 14.3%; pace vs historical 0.0% at ~60d horizon; ADR 125.53 vs historical high 130.27; expected remaining demand 7.00 rooms; 46 days to arrival.,MONITOR_UP,1.1312697931921156,126.95513953488371,1.4201395348837167,9.94,0.65,6.46
2026-08-06,2761,Camera  Standard,14,9,5,64.28571428571429,6,7,10.0,13.0,-10.0,0.9,227.58666666666664,182.36966069897085,243.69322809750733,7.077111179993271,HOLD,0.0,227.58666666666664,0.0,0.0,0.0,HIGH,False,OTB saturation 64.3%; pace vs historical -10.0% at ~7d horizon; ADR 227.59 vs historical high 243.69; expected remaining demand 0.90 rooms; 6 days to arrival.,MONITOR_UP,2.1231333539979813,232.41863509591886,4.831968429252214,4.35,0.65,2.83
