stay_year,stay_month,season_band,arrangement_code,arrangement_name,booking_window_band,confirmed_bookings,revenue,avg_adr,avg_los,avg_booking_window,comparability_group,reliability
2024,2024-07,PEAK,HBL,Mezza Pensione Pranzo,31-60,1,2595.0,370.71,7.0,39.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-07,PEAK,HBL,Mezza Pensione Pranzo,61-90,2,0.0,0.0,17.5,89.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-07,PEAK,HBL,Mezza Pensione Pranzo,91-180,3,-83.5,-3.98,9.33,103.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-07,PEAK,RS,Formula Residence,61-90,1,0.0,0.0,7.0,88.0,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
2024,2024-07,PEAK,RS,Formula Residence,91-180,21,0.0,0.0,9.0,105.33,SPECIAL_OR_NON_COMPARABLE,LOW
2024,2024-07,PEAK,SP,Solo Pernottamento,61-90,3,650.0,30.95,7.0,89.0,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
2024,2024-07,PEAK,SP,Solo Pernottamento,91-180,4,50.0,1.78,7.0,102.5,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
2024,2024-08,PEAK,BB,Bed & Breakfast,15-30,1,2190.0,312.86,7.0,22.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-08,PEAK,BB,Bed & Breakfast,91-180,4,0.0,0.0,7.0,121.75,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-08,PEAK,FB,Pensione Completa,0-7,46,67042.5,220.65,5.74,4.46,COMPARABLE_COMMERCIAL,MEDIUM
2024,2024-08,PEAK,FB,Pensione Completa,8-14,23,48904.5,291.49,6.35,10.3,COMPARABLE_COMMERCIAL,LOW
2024,2024-08,PEAK,FB,Pensione Completa,15-30,16,39128.0,343.59,6.88,24.56,COMPARABLE_COMMERCIAL,LOW
2024,2024-08,PEAK,FB,Pensione Completa,31-60,20,43103.0,299.91,7.15,41.55,COMPARABLE_COMMERCIAL,LOW
2024,2024-08,PEAK,FB,Pensione Completa,61-90,5,16106.5,388.9,8.4,77.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-08,PEAK,FB,Pensione Completa,91-180,75,82244.5,117.92,7.97,126.53,COMPARABLE_COMMERCIAL,MEDIUM
2024,2024-08,PEAK,FB,Pensione Completa,181+,4,13420.0,342.43,9.5,215.75,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-08,PEAK,HB,Mezza Pensione,0-7,22,37713.0,287.01,5.45,3.45,COMPARABLE_COMMERCIAL,LOW
2024,2024-08,PEAK,HB,Mezza Pensione,8-14,3,9470.0,498.38,6.33,11.33,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-08,PEAK,HB,Mezza Pensione,15-30,8,22889.0,366.01,7.75,23.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-08,PEAK,HB,Mezza Pensione,31-60,12,38972.0,422.94,7.67,42.75,COMPARABLE_COMMERCIAL,LOW
2024,2024-08,PEAK,HB,Mezza Pensione,61-90,2,6381.5,527.86,6.0,73.5,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-08,PEAK,HB,Mezza Pensione,91-180,23,56246.0,294.38,8.52,124.39,COMPARABLE_COMMERCIAL,LOW
2024,2024-08,PEAK,HB,Mezza Pensione,181+,4,15557.0,437.93,8.75,244.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-08,PEAK,RS,Formula Residence,91-180,9,0.0,0.0,9.22,143.89,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
2024,2024-08,PEAK,SP,Solo Pernottamento,0-7,1,-36.0,-5.14,7.0,7.0,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
2024,2024-08,PEAK,SP,Solo Pernottamento,15-30,1,0.0,0.0,7.0,26.0,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
2024,2024-08,PEAK,SP,Solo Pernottamento,91-180,33,240.0,1.04,8.7,125.24,SPECIAL_OR_NON_COMPARABLE,MEDIUM
2024,2024-09,SHOULDER,FB,Pensione Completa,0-7,15,10882.0,171.49,3.67,2.67,COMPARABLE_COMMERCIAL,LOW
2024,2024-09,SHOULDER,FB,Pensione Completa,8-14,10,8752.0,139.79,5.7,10.7,COMPARABLE_COMMERCIAL,LOW
2024,2024-09,SHOULDER,FB,Pensione Completa,15-30,6,10439.0,248.55,7.0,20.5,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-09,SHOULDER,FB,Pensione Completa,31-60,15,13866.0,130.77,4.93,49.6,COMPARABLE_COMMERCIAL,LOW
2024,2024-09,SHOULDER,FB,Pensione Completa,61-90,7,10354.5,244.83,6.29,77.29,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-09,SHOULDER,FB,Pensione Completa,91-180,16,13462.5,129.58,6.69,129.19,COMPARABLE_COMMERCIAL,LOW
2024,2024-09,SHOULDER,FB,Pensione Completa,181+,2,3142.0,187.1,8.5,219.5,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-09,SHOULDER,HB,Mezza Pensione,0-7,30,19113.35,134.54,4.73,2.3,COMPARABLE_COMMERCIAL,MEDIUM
2024,2024-09,SHOULDER,HB,Mezza Pensione,8-14,7,8361.0,174.26,7.0,9.71,COMPARABLE_COMMERCIAL,INSUFFICIENT
