stay_year,stay_month_num,season,booking_window,room_name,quoted_requests,converted_requests,same_room_converted,conversion_pct
2024,7,PEAK,15-30,Appartamento Area Piscina,137,7,4,2.9197080291970803
2024,7,PEAK,15-30,Camera  Standard,80,9,8,10.0
2024,7,PEAK,15-30,Camera Deluxe,52,3,2,3.8461538461538463
2024,7,PEAK,15-30,Camera Superior,63,2,1,1.5873015873015872
2024,7,PEAK,15-30,Suite Familiare,2,0,0,0.0
2024,7,PEAK,15-30,Suite Familiare Vista Piscina,2,0,0,0.0
2024,7,PEAK,15-30,Villino 2Ten,4,1,0,0.0
2024,7,PEAK,15-30,Villino Double,9,0,0,0.0
2024,7,PEAK,181+,Appartamento Area Giardino,47,6,5,10.638297872340425
2024,7,PEAK,181+,Appartamento Area Piscina,15,2,1,6.666666666666667
2024,7,PEAK,181+,Camera  Standard,21,2,1,4.761904761904762
2024,7,PEAK,181+,Camera Deluxe,30,0,0,0.0
2024,7,PEAK,181+,Camera Superior,25,2,1,4.0
2024,7,PEAK,181+,Suite Familiare,1,0,0,0.0
2024,7,PEAK,181+,Villino 2Ten,2,0,0,0.0
2024,7,PEAK,181+,Villino Double,1,0,0,0.0
2024,7,PEAK,31-60,Appartamento Area Giardino,20,2,2,10.0
2024,7,PEAK,31-60,Appartamento Area Piscina,87,4,3,3.4482758620689653
2024,7,PEAK,31-60,Camera  Standard,57,2,2,3.508771929824561
2024,7,PEAK,31-60,Camera Deluxe,66,4,1,1.5151515151515151
2024,7,PEAK,31-60,Camera Superior,64,1,1,1.5625
2024,7,PEAK,31-60,Suite Familiare,13,1,1,7.6923076923076925
2024,7,PEAK,31-60,Suite Familiare Vista Piscina,3,1,0,0.0
2024,7,PEAK,31-60,Villino 2Ten,5,0,0,0.0
2024,7,PEAK,31-60,Villino Double,15,1,0,0.0
2024,7,PEAK,61-90,Appartamento Area Giardino,10,1,1,10.0
2024,7,PEAK,61-90,Appartamento Area Piscina,66,2,2,3.0303030303030303
2024,7,PEAK,61-90,Camera  Standard,31,2,2,6.451612903225806
2024,7,PEAK,61-90,Camera Deluxe,25,1,1,4.0
2024,7,PEAK,61-90,Camera Superior,40,0,0,0.0
2024,7,PEAK,61-90,Suite Familiare,3,0,0,0.0
2024,7,PEAK,61-90,Villino 2Ten,3,0,0,0.0
2024,7,PEAK,61-90,Villino Double,1,0,0,0.0
2024,7,PEAK,8-14,Appartamento Area Giardino,43,6,4,9.30232558139535
2024,7,PEAK,8-14,Appartamento Area Piscina,42,2,2,4.761904761904762
2024,7,PEAK,8-14,Camera  Standard,50,2,1,2.0
2024,7,PEAK,8-14,Camera Deluxe,53,4,2,3.7735849056603774
2024,7,PEAK,8-14,Camera Superior,64,12,8,12.5
2024,7,PEAK,8-14,Suite Familiare Vista Piscina,1,1,1,100.0
2024,7,PEAK,8-14,Villino 2Ten,4,0,0,0.0
2024,7,PEAK,91-180,Appartamento Area Giardino,112,12,7,6.25
2024,7,PEAK,91-180,Appartamento Area Piscina,110,16,10,9.090909090909092
2024,7,PEAK,91-180,Camera  Standard,90,6,3,3.3333333333333335
2024,7,PEAK,91-180,Camera Deluxe,62,5,3,4.838709677419355
2024,7,PEAK,91-180,Camera Superior,108,10,6,5.555555555555555
2024,7,PEAK,91-180,Suite Familiare,1,0,0,0.0
2024,7,PEAK,91-180,Suite Familiare Vista Piscina,5,1,1,20.0
2024,7,PEAK,91-180,Villino 2Ten,3,0,0,0.0
2024,8,PEAK,0-7,Appartamento Area Giardino,9,2,1,11.11111111111111
2024,8,PEAK,0-7,Appartamento Area Piscina,10,3,1,10.0
2024,8,PEAK,0-7,Camera  Standard,70,12,9,12.857142857142858
2024,8,PEAK,0-7,Camera Deluxe,30,3,2,6.666666666666667
2024,8,PEAK,0-7,Camera Superior,45,7,6,13.333333333333334
2024,8,PEAK,0-7,Villino 2Ten,1,0,0,0.0
2024,8,PEAK,15-30,Appartamento Area Giardino,23,3,2,8.695652173913043
