stay_year,stay_month_num,room_name,treatment,action_type,recommended_action,economic_value_eur,confidence,decision_date,lead_days_to_stay_month,requests_to_date,historical_requests_same_lead,request_pace_index,timing_status,timing_reason
2025,5,Camera Superior,,PRICE_DOWN,Change ROOM ADR -25% (96.57 → 72.43),663.95,MEDIUM,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2025,5,Appartamento Area Giardino,,PRICE_DOWN,Change ROOM ADR -15% (141.99 → 120.69),204.99,LOW,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2025,5,Camera Deluxe,,PRICE_DOWN,Change ROOM ADR -15% (47.00 → 39.95),9.69,LOW,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2025,6,Appartamento Area Piscina,Mezza Pensione,PACKAGE_PRICE_UP,Test TOTAL PACKAGE ADR +10% for Mezza Pensione,3635.759,HIGH,2025-05-09,23.0,93.0,73.0,1.27,HISTORICAL_TRIGGER_FOUND,Request pace reached 1.27× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2025,6,Appartamento Area Giardino,,PRICE_DOWN,Change ROOM ADR -25% (169.67 → 127.25),18969.28,MEDIUM,2025-02-11,110.0,20.0,53.0,0.38,HISTORICAL_TRIGGER_FOUND,Request pace reached 0.38× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2025,6,Appartamento Area Piscina,,PRICE_DOWN,Change ROOM ADR -20% (174.88 → 139.91),5654.42,MEDIUM,2025-03-09,84.0,21.0,49.0,0.43,HISTORICAL_TRIGGER_FOUND,Request pace reached 0.43× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2025,6,Camera Deluxe,,PRICE_DOWN,Change ROOM ADR -5% (201.29 → 191.22),2346.0,MEDIUM,2025-03-13,80.0,20.0,59.0,0.34,HISTORICAL_TRIGGER_FOUND,Request pace reached 0.34× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2025,6,Villino Double,,PRICE_DOWN,Change ROOM ADR -25% (410.93 → 308.20),497.1,HIGH,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2025,6,Camera  Standard,,PRICE_DOWN,Change ROOM ADR -5% (141.79 → 134.70),224.05,MEDIUM,2025-03-16,77.0,20.0,134.0,0.15,HISTORICAL_TRIGGER_FOUND,Request pace reached 0.15× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2025,6,Camera Superior,,PRICE_UP,Change ROOM ADR +25% (145.64 → 182.05),4881.21,LOW,2025-04-07,55.0,119.0,95.0,1.25,HISTORICAL_TRIGGER_FOUND,Request pace reached 1.25× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
