stay_year,stay_month_num,season,room_id,room_name,rooms_available,bookings,room_nights,revenue,guests,avg_los,avg_lead_days,adr_booking_mean,days_in_month,available_room_nights,occupancy_pct,realized_adr,revpar,quoted_requests,conversion_pct
2025,5,SHOULDER,2764,Appartamento Area Giardino,28,14,35,4969.5599999999995,45,2.5,17.428571428571427,135.25571428571428,31,868,4.032258064516129,141.98742857142855,5.725299539170506,52.0,3.8461538461538463
2026,5,SHOULDER,2764,Appartamento Area Giardino,28,54,141,24145.079999999998,207,2.611111111111111,16.09259259259259,168.48851851851853,31,868,16.244239631336406,171.24170212765955,27.816912442396312,60.0,8.333333333333334
2024,6,SHOULDER,2764,Appartamento Area Giardino,28,120,878,126235.9,415,7.316666666666666,79.08333333333333,140.12041666666667,30,840,104.52380952380952,143.7766514806378,150.28083333333333,301.0,7.641196013289036
2025,6,SHOULDER,2764,Appartamento Area Giardino,28,97,464,78725.97,343,4.783505154639175,34.90721649484536,171.9198969072165,30,840,55.23809523809524,169.66803879310345,93.72139285714286,427.0,7.7283372365339575
2026,6,SHOULDER,2764,Appartamento Area Giardino,28,73,496,87028.34,261,6.794520547945205,82.20547945205479,174.12794520547945,30,840,59.04761904761905,175.46036290322579,103.60516666666666,399.0,6.516290726817043
2024,7,PEAK,2764,Appartamento Area Giardino,28,112,908,116834.0,476,8.107142857142858,98.22321428571429,133.44205357142857,31,868,104.60829493087557,128.6718061674009,134.60138248847926,271.0,7.380073800738008
2025,7,PEAK,2764,Appartamento Area Giardino,28,101,763,118266.51,420,7.554455445544554,91.97029702970298,168.86940594059408,31,868,87.90322580645162,155.00197903014416,136.2517396313364,479.0,3.549060542797495
2026,7,PEAK,2764,Appartamento Area Giardino,28,113,817,146935.23,454,7.230088495575221,156.0796460176991,181.11778761061947,31,868,94.12442396313364,179.84728274173807,169.28021889400924,518.0,3.667953667953668
2024,8,PEAK,2764,Appartamento Area Giardino,28,123,965,116570.5,512,7.845528455284553,113.21138211382114,117.6110569105691,31,868,111.17511520737327,120.79844559585493,134.29781105990784,315.0,4.761904761904762
2025,8,PEAK,2764,Appartamento Area Giardino,28,117,890,149321.26,476,7.6068376068376065,103.94017094017094,170.07188034188033,31,868,102.53456221198157,167.7766966292135,172.02910138248848,654.0,3.669724770642202
2024,9,SHOULDER,2764,Appartamento Area Giardino,28,43,256,41625.93,140,5.953488372093023,45.95348837209303,157.26186046511629,30,840,30.476190476190474,162.6012890625,49.554678571428575,298.0,3.3557046979865772
2025,9,SHOULDER,2764,Appartamento Area Giardino,28,43,152,30852.14,161,3.5348837209302326,9.534883720930232,204.68302325581396,30,840,18.095238095238095,202.97460526315788,36.72873809523809,94.0,17.02127659574468
2025,5,SHOULDER,2765,Appartamento Area Piscina,18,17,38,7860.049999999999,59,2.235294117647059,22.294117647058822,221.3029411764706,31,558,6.810035842293907,206.84342105263156,14.08611111111111,15.0,46.666666666666664
2026,5,SHOULDER,2765,Appartamento Area Piscina,18,34,99,17708.38,120,2.911764705882353,29.91176470588235,174.43588235294118,31,558,17.741935483870968,178.87252525252526,31.735448028673837,33.0,3.0303030303030303
2024,6,SHOULDER,2765,Appartamento Area Piscina,18,81,474,80777.0,261,5.851851851851852,63.4320987654321,158.0843209876543,30,540,87.77777777777777,170.415611814346,149.58703703703705,346.0,4.624277456647399
2025,6,SHOULDER,2765,Appartamento Area Piscina,18,75,385,67330.32,228,5.133333333333334,33.24,164.2952,30,540,71.29629629629629,174.88394805194807,124.68577777777779,443.0,6.094808126410835
2026,6,SHOULDER,2765,Appartamento Area Piscina,18,59,330,62356.83,192,5.593220338983051,40.66101694915254,183.62,30,540,61.111111111111114,188.96009090909092,115.47561111111112,492.0,2.4390243902439024
2024,7,PEAK,2765,Appartamento Area Piscina,18,54,398,116411.5,214,7.37037037037037,62.370370370370374,278.99574074074076,31,558,71.32616487455198,292.49120603015075,208.62275985663084,479.0,4.592901878914405
2025,7,PEAK,2765,Appartamento Area Piscina,18,71,526,117427.9,248,7.408450704225352,43.25352112676056,231.25535211267606,31,558,94.26523297491039,223.24695817490493,210.4442652329749,780.0,3.8461538461538463
2026,7,PEAK,2765,Appartamento Area Piscina,18,72,478,139256.49,251,6.638888888888889,68.94444444444444,274.4534722222222,31,558,85.66308243727599,291.3315690376569,249.5636021505376,1191.0,0.9235936188077246
2024,8,PEAK,2765,Appartamento Area Piscina,18,61,461,152908.5,248,7.557377049180328,60.98360655737705,338.41131147540983,31,558,82.61648745519713,331.6887201735358,274.0295698924731,548.0,4.562043795620438
2025,8,PEAK,2765,Appartamento Area Piscina,18,74,563,129428.18,246,7.608108108108108,65.77027027027027,234.70716216216218,31,558,100.89605734767025,229.89019538188276,231.9501433691756,1186.0,3.372681281618887
2024,9,SHOULDER,2765,Appartamento Area Piscina,18,30,174,34023.5,86,5.8,49.36666666666667,175.43066666666667,30,540,32.22222222222222,195.53735632183907,63.00648148148148,162.0,7.407407407407407
2025,9,SHOULDER,2765,Appartamento Area Piscina,18,30,152,26421.82,82,5.066666666666666,16.633333333333333,178.09166666666667,30,540,28.14814814814815,173.82776315789474,48.92929629629629,102.0,21.568627450980394
2024,5,SHOULDER,2761,Camera  Standard,14,4,8,994.0,8,2.0,52.75,124.25,31,434,1.8433179723502304,124.25,2.2903225806451615,15.0,6.666666666666667
2025,5,SHOULDER,2761,Camera  Standard,14,16,36,8045.0,34,2.25,38.0,195.83375,31,434,8.294930875576037,223.47222222222223,18.536866359447004,25.0,16.0
2026,5,SHOULDER,2761,Camera  Standard,14,29,80,14365.78,60,2.7586206896551726,26.724137931034484,164.06137931034482,31,434,18.433179723502302,179.57225,33.10087557603687,41.0,4.878048780487805
2024,6,SHOULDER,2761,Camera  Standard,14,80,502,53334.16,179,6.275,73.9125,100.37925,30,420,119.52380952380952,106.24334661354582,126.98609523809525,256.0,5.46875
2025,6,SHOULDER,2761,Camera  Standard,14,83,307,43529.659999999996,174,3.6987951807228914,36.65060240963855,129.65843373493976,30,420,73.0952380952381,141.79042345276872,103.64204761904762,373.0,8.310991957104557
2026,6,SHOULDER,2761,Camera  Standard,14,74,340,48920.479999999996,152,4.594594594594595,33.36486486486486,134.99824324324325,30,420,80.95238095238095,143.88376470588233,116.47733333333332,351.0,5.698005698005698
2024,7,PEAK,2761,Camera  Standard,14,53,331,45595.5,137,6.245283018867925,68.45283018867924,132.96358490566038,31,434,76.26728110599079,137.75075528700907,105.05875576036867,351.0,5.698005698005698
2025,7,PEAK,2761,Camera  Standard,14,107,465,78565.94,223,4.345794392523365,40.02803738317757,151.45,31,434,107.14285714285714,168.9590107526882,181.02751152073733,471.0,5.944798301486199
2026,7,PEAK,2761,Camera  Standard,14,74,411,87692.98,154,5.554054054054054,55.63513513513514,206.2904054054054,31,434,94.70046082949308,213.36491484184913,202.05755760368663,549.0,3.096539162112933
2024,8,PEAK,2761,Camera  Standard,14,47,322,54740.5,129,6.851063829787234,62.744680851063826,152.1627659574468,31,434,74.19354838709677,170.00155279503105,126.13018433179724,627.0,2.7113237639553427
2025,8,PEAK,2761,Camera  Standard,14,87,446,91810.38,179,5.126436781609195,59.86206896551724,186.4603448275862,31,434,102.76497695852535,205.85286995515696,211.5446543778802,649.0,6.00924499229584
2024,9,SHOULDER,2761,Camera  Standard,14,33,205,25746.5,74,6.212121212121212,96.87878787878788,124.16363636363636,30,420,48.80952380952381,125.59268292682927,61.30119047619048,323.0,3.4055727554179565
2025,9,SHOULDER,2761,Camera  Standard,14,61,169,21676.95,123,2.7704918032786887,13.229508196721312,123.33180327868853,30,420,40.23809523809524,128.26597633136095,51.611785714285716,246.0,9.34959349593496
2025,11,OTHER,2761,Camera  Standard,14,13,13,0.0,26,1.0,4.0,0.0,30,420,3.0952380952380953,0.0,0.0,,
2025,5,SHOULDER,2763,Camera Deluxe,5,3,5,235.0,8,1.6666666666666667,12.0,63.333333333333336,31,155,3.225806451612903,47.0,1.5161290322580645,24.0,0.0
2026,5,SHOULDER,2763,Camera Deluxe,5,5,16,2837.58,17,3.2,20.8,188.558,31,155,10.32258064516129,177.34875,18.306967741935484,16.0,0.0
2024,6,SHOULDER,2763,Camera Deluxe,5,26,165,32024.5,91,6.346153846153846,93.92307692307692,175.505,30,150,110.0,194.0878787878788,213.49666666666667,130.0,6.923076923076923
2025,6,SHOULDER,2763,Camera Deluxe,5,25,126,25362.15,92,5.04,88.2,196.4536,30,150,84.0,201.28690476190476,169.08100000000002,266.0,2.255639097744361
