room_name,Appartamento Area Giardino,Appartamento Area Piscina,Camera  Standard,Camera Superior,Camera Deluxe,Villino Double
Appartamento Area Giardino,,-40.3,-41.04,-46.09,-32.13,-36.46
Appartamento Area Piscina,67.49,,-1.25,-9.7,13.68,6.42
Camera  Standard,69.62,1.27,,-8.55,15.12,7.77
Camera Superior,85.48,10.74,9.35,,25.88,17.85
Camera Deluxe,47.34,-12.03,-13.13,-20.56,,-6.38
Villino Double,57.38,-6.04,-7.21,-15.15,6.81,
