stay_year,stay_month_num,season,room_name,from_treatment,to_treatment,strategy,eligible_lower_treatment_bookings,observed_higher_treatment_bookings,observed_higher_treatment_share_pct,lower_total_adr,higher_total_adr,package_adr_premium_eur,test_upgrade_rate_pct,expected_test_upgrades,economic_value_proxy_eur,confidence,action_text,note
2025,6,SHOULDER,Camera Superior,Bed & Breakfast,Mezza Pensione,PROMOTE_UPSELL,18,16,38.1,109.35,169.41,60.05,10.0,1.8,480.43,MEDIUM,Camera Superior · month 6: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2024,7,PEAK,Appartamento Area Giardino,Solo Pernottamento,Mezza Pensione,PROMOTE_UPSELL,7,17,15.18,14.29,112.23,97.95,10.0,0.7,479.94,MEDIUM,Appartamento Area Giardino · month 7: promote Solo Pernottamento → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,6,SHOULDER,Appartamento Area Giardino,Only Bed,Bed & Breakfast,PROMOTE_UPSELL,8,20,20.62,33.24,110.14,76.91,10.0,0.8,453.76,MEDIUM,Appartamento Area Giardino · month 6: promote Only Bed → Bed & Breakfast to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,7,PEAK,Appartamento Area Piscina,Bed & Breakfast,Mezza Pensione,PROMOTE_UPSELL,12,35,49.3,211.18,257.23,46.05,10.0,1.2,442.12,MEDIUM,Appartamento Area Piscina · month 7: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,6,SHOULDER,Appartamento Area Piscina,Mezza Pensione,Pensione Completa,PROMOTE_UPSELL,32,15,20.0,188.38,210.37,21.98,10.0,3.2,424.29,MEDIUM,Appartamento Area Piscina · month 6: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,7,PEAK,Appartamento Area Giardino,Mezza Pensione,Pensione Completa,PROMOTE_UPSELL,42,15,14.85,236.56,250.42,13.86,10.0,4.2,385.18,MEDIUM,Appartamento Area Giardino · month 7: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,8,PEAK,Camera Superior,Mezza Pensione,Pensione Completa,PROMOTE_UPSELL,23,11,22.0,273.47,299.46,25.99,10.0,2.3,382.01,MEDIUM,Camera Superior · month 8: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,6,SHOULDER,Camera  Standard,Mezza Pensione,Pensione Completa,PROMOTE_UPSELL,39,20,24.1,145.25,165.47,20.22,10.0,3.9,359.94,MEDIUM,Camera  Standard · month 6: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,9,SHOULDER,Camera Superior,Bed & Breakfast,Mezza Pensione,PROMOTE_UPSELL,9,13,48.15,84.76,208.0,123.24,10.0,0.9,332.76,MEDIUM,Camera Superior · month 9: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2024,8,PEAK,Appartamento Area Piscina,Bed & Breakfast,Mezza Pensione,PROMOTE_UPSELL,2,22,36.07,156.43,389.48,233.05,10.0,0.2,326.27,MEDIUM,Appartamento Area Piscina · month 8: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
