stay_year,stay_month_num,season,booking_window,arrangement_name,bookings,room_nights,revenue,avg_adr,avg_lead_days,realized_adr,cancellation_pct,quoted_requests,same_treatment_converted,conversion_pct,benchmark_adr,comparable_years,comparable_conversion,comparable_cancel,adr_gap,adr_gap_pct,raw_gross_opportunity,conversion_supported,cancel_supported,confidence,max_uplift_pct,decision
2024,7,PEAK,91-180,Pensione Completa,78,587,119839.5,192.89820512820512,119.78205128205128,204.15587734241907,16.666666666666668,244.0,18.0,7.377049180327869,285.62336781609196,3,1.694915254237288,16.666666666666668,81.46749047367288,0.3990455309647152,47821.41690804598,True,True,HIGH,0.15,INCREASE
2024,6,SHOULDER,61-90,Mezza Pensione,73,429,47520.6,110.40958904109588,76.35616438356165,110.77062937062936,14.117647058823529,58.0,4.0,6.896551724137931,173.18358090953632,2,6.732947394915681,17.475490196078432,62.41295153890695,0.5634431427673701,26775.156210191082,True,True,HIGH,0.15,INCREASE
2025,8,PEAK,91-180,Mezza Pensione,57,474,110145.4,236.6077192982456,137.17543859649123,232.37426160337552,31.325301204819276,548.0,16.0,2.9197080291970803,273.3206062171704,2,2.6574588050177015,19.36635430611334,40.94634461379488,0.17620860559713591,19408.567346938773,True,False,HIGH,0.15,TEST_SMALL_INCREASE
2024,7,PEAK,91-180,Mezza Pensione,26,228,40533.5,182.05423076923077,121.53846153846153,177.77850877192984,16.129032258064516,193.0,6.0,3.1088082901554404,245.1622921732523,3,3.1088082901554404,17.02127659574468,67.38378340132246,0.3790322231117846,15363.50261550152,True,True,HIGH,0.15,INCREASE
2025,8,PEAK,31-60,Mezza Pensione,22,140,39120.1,286.56772727272727,45.45454545454545,279.4292857142857,15.384615384615385,311.0,9.0,2.8938906752411575,387.56384316770186,2,3.147625609729422,7.6923076923076925,108.13455745341616,0.38698362334140923,15138.838043478263,True,True,HIGH,0.15,INCREASE
2024,6,SHOULDER,31-60,Pensione Completa,22,127,14573.9,108.765,46.68181818181818,114.75511811023621,15.384615384615385,83.0,4.0,4.819277108433735,222.74345048422367,3,2.395209580838323,15.384615384615385,107.98833237398746,0.9410328197322891,13714.518211496408,True,True,HIGH,0.15,INCREASE
2024,6,SHOULDER,15-30,Pensione Completa,25,125,14849.5,110.684,20.56,118.796,24.324324324324323,149.0,3.0,2.0134228187919465,219.8112970521542,3,2.094240837696335,13.043478260869565,101.0152970521542,0.850325743730043,12626.912131519275,True,True,HIGH,0.15,INCREASE
2024,7,PEAK,61-90,Pensione Completa,21,142,25041.0,170.44190476190474,79.66666666666667,176.3450704225352,22.22222222222222,113.0,5.0,4.424778761061947,257.13021182339367,3,0.8130081300813008,22.22222222222222,80.78514140085846,0.4581083055357974,11471.490078921903,True,True,HIGH,0.15,INCREASE
2025,7,PEAK,0-7,Mezza Pensione,30,128,28634.06,217.22866666666667,3.933333333333333,223.70359375,9.090909090909092,78.0,8.0,10.256410256410257,304.31036813186813,3,3.3333333333333335,9.090909090909092,80.60677438186812,0.36032847318470096,10317.66712087912,True,True,HIGH,0.15,INCREASE
2026,6,SHOULDER,31-60,Mezza Pensione,39,266,46818.43,172.89000000000001,42.717948717948715,176.00913533834586,32.758620689655174,123.0,12.0,9.75609756097561,208.68350318471337,3,6.60377358490566,28.571428571428573,32.67436784636752,0.18564018159373905,8691.38184713376,True,False,HIGH,0.15,TEST_SMALL_INCREASE
2025,7,PEAK,91-180,Mezza Pensione,39,280,60241.99,206.12538461538463,122.23076923076923,215.14996428571428,26.41509433962264,311.0,8.0,2.572347266881029,245.1622921732523,3,3.1088082901554404,17.02127659574468,30.01232788753802,0.1394949238647436,8403.451808510647,False,True,HIGH,0.1394949238647436,HOLD
2025,7,PEAK,91-180,Pensione Completa,16,145,33171.08,223.549375,141.5,228.76606896551726,30.434782608695652,472.0,8.0,1.694915254237288,285.62336781609196,3,1.694915254237288,16.666666666666668,56.85729885057469,0.24853903862440807,8244.30833333333,True,False,MEDIUM,0.15,TEST_SMALL_INCREASE
2025,7,PEAK,61-90,Pensione Completa,16,121,22915.5,218.30375,76.8125,189.38429752066116,36.0,246.0,2.0,0.8130081300813008,257.13021182339367,3,0.8130081300813008,22.22222222222222,67.7459143027325,0.35771663854729907,8197.255630630632,True,False,MEDIUM,0.15,TEST_SMALL_INCREASE
