stay_year,stay_month_num,room_name,treatment,action_type,action,current_occupancy_pct,expected_occupancy_pct,current_revpar,optimized_revpar,economic_value_eur,economic_value_type,confidence,evidence,why
2026,6,Camera Superior,Mezza Pensione → Pensione Completa,PROMOTE_UPSELL,Camera Superior · month 6: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,,,,,320.0,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 29.6% of bookings in this room-month; observed total-ADR premium €21.19.
2026,6,Camera  Standard,,PRICE_DOWN,Change ROOM ADR -5% (143.88 → 136.69),80.95,85.65,116.48,117.08,251.8,MODELED_REVENUE,MEDIUM,OBSERVED,BALANCED: tested price grid and selected -5% because it maximizes modeled RevPAR (116.48 -> 117.08) under the estimated price-volume response.
2026,6,Appartamento Area Giardino,Only Bed → Mezza Pensione,PROMOTE_UPSELL,Appartamento Area Giardino · month 6: promote Only Bed → Mezza Pensione to a controlled test cohort (10% target).,,,,,63.13,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 58.9% of bookings in this room-month; observed total-ADR premium €210.44.
2026,6,OTA Camera Standard,,PRICE_DOWN,Change ROOM ADR -15% (158.50 → 134.73),6.67,8.17,10.57,11.0,39.23,MODELED_REVENUE,LOW,PRIOR,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (10.57 -> 11.00) under the estimated price-volume response.
2026,7,Appartamento Area Piscina,Mezza Pensione,PACKAGE_PRICE_UP,Test TOTAL PACKAGE ADR +10% for Mezza Pensione,,,,,10278.866000000002,NON_ADDITIVE_PACKAGE_SIMULATION,HIGH,OBSERVED_YOY_PRICE_AND_VOLUME,Total ADR YoY +21.1% while room-night volume YoY +41.6%.
2026,7,Appartamento Area Giardino,Mezza Pensione,PACKAGE_PRICE_UP,Test TOTAL PACKAGE ADR +10% for Mezza Pensione,,,,,8868.982,NON_ADDITIVE_PACKAGE_SIMULATION,HIGH,OBSERVED_YOY_PRICE_AND_VOLUME,Total ADR YoY +28.8% while room-night volume YoY +4.7%.
2026,7,Camera Superior,Mezza Pensione,PACKAGE_PRICE_UP,Test TOTAL PACKAGE ADR +10% for Mezza Pensione,,,,,6397.431,NON_ADDITIVE_PACKAGE_SIMULATION,MEDIUM,OBSERVED_YOY_PRICE_AND_VOLUME,Total ADR YoY +23.8% while room-night volume YoY +100.9%.
2026,7,Camera  Standard,Mezza Pensione,PACKAGE_PRICE_UP,Test TOTAL PACKAGE ADR +10% for Mezza Pensione,,,,,6277.462,NON_ADDITIVE_PACKAGE_SIMULATION,HIGH,OBSERVED_YOY_PRICE_AND_VOLUME,Total ADR YoY +11.9% while room-night volume YoY +40.1%.
2026,7,Camera Deluxe,,PRICE_UP,Change ROOM ADR +25% (346.65 → 433.32),67.74,57.74,234.83,250.21,2383.61,MODELED_REVENUE,MEDIUM,OBSERVED,BALANCED: tested price grid and selected +25% because it maximizes modeled RevPAR (234.83 -> 250.21) under the estimated price-volume response.
2026,7,Camera  Standard,,PRICE_UP,Change ROOM ADR +5% (213.36 → 224.03),94.7,92.61,202.06,207.47,2350.39,MODELED_REVENUE,MEDIUM,OBSERVED,PRICE_POWER: tested price grid and selected +5% because it maximizes modeled RevPAR (202.06 -> 207.47) under the estimated price-volume response.
2026,7,Villino Double,,PRICE_UP,Change ROOM ADR +25% (356.49 → 445.61),74.19,67.31,264.49,299.92,1098.23,MODELED_REVENUE,HIGH,OBSERVED,BALANCED: tested price grid and selected +25% because it maximizes modeled RevPAR (264.49 -> 299.92) under the estimated price-volume response.
