room_name,Appartamento Area Giardino,Appartamento Area Piscina,Camera  Standard,Camera Superior,Camera Deluxe,Villino Double
Appartamento Area Giardino,,39.38,-8.95,21.65,51.26,57.23
Appartamento Area Piscina,-28.26,,-34.68,-12.73,8.52,12.81
Camera  Standard,9.83,53.09,,33.61,66.13,72.7
Camera Superior,-17.79,14.58,-25.15,,24.34,29.25
Camera Deluxe,-33.89,-7.85,-39.81,-19.58,,3.95
Villino Double,-36.4,-11.35,-42.09,-22.63,-3.8,
